,id,location,x,y
137,137,Central Park,-73.95517731,40.77317429
138,138,East Village,-73.98986816,40.72937012
139,139,Midtown,-73.96961212,40.75771332
140,140,West Village,-74.00241852,40.73323441
141,141,Midtown,-73.97177124,40.759838099999996
142,142,Harlem,-73.94184875,40.82948303
143,143,Tribeca,-74.01052094,40.71841049
144,144,Tribeca,-74.00708771,40.71913147
145,145,Little Italy,-73.99446869,40.71897888
146,146,Upper West Side,-73.98499298,40.77389145
147,147,LaGuardia Airport,-73.86269379,40.76873016
148,148,,-73.99803162,40.71966934
149,149,John F. Kennedy International Airport,-73.79447937,40.65715027
150,150,,0.0,0.0
151,151,West Village,-74.00284576,40.73115158
152,152,Midtown,-73.97858429,40.76258087
153,153,Hell's Kitchen,-73.99577332,40.75932312
154,154,West Village,-74.00505066,40.7399559
155,155,,-73.99897003,40.73460007
156,156,,0.0,0.0
157,157,Upper West Side,-73.97367096,40.784519200000005
158,158,,0.0,0.0
159,159,Midtown,-73.97333527,40.76407242
160,160,Midtown,-73.97849274,40.76217651
161,161,Chelsea,-73.99783325,40.74491501
162,162,Roosevelt Island,-73.95558929,40.76404953
163,163,East Village,-73.98835754,40.72014236
164,164,Nolita,-73.99267578,40.72039032
165,165,Battery Park City,-74.01483917,40.71460724
166,166,East Harlem,-73.94416809,40.78807449
167,167,East Village,-73.97856903,40.7295723
168,168,,-73.99903107,40.7342186
169,169,Upper West Side,-73.95992279,40.77350235
170,170,Hell's Kitchen,-73.99394226,40.75671387
171,171,West Village,-74.00257874,40.73963928
172,172,Chelsea,-73.99676514,40.74243927
173,173,Midtown,-73.97644806,40.75837708
174,174,Tribeca,-74.00428009,40.72182083
175,175,Midtown,-73.97149658,40.75601196
176,176,Upper East Side,-73.94954681,40.77176285
177,177,Kips Bay,-73.97399902,40.7429924
178,178,Flatiron District,-73.98726654,40.74432373
179,179,East Harlem,-73.94271088,40.79436111
180,180,Tribeca,-74.0087738,40.71389008
181,181,SoHo,-73.99771118,40.72400284
182,182,Upper West Side,-73.96520996,40.79120636
183,183,Upper West Side,-73.98202515,40.77247620000001
184,184,Chelsea,-73.99658966,40.7428093
