VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	pickup_longitude	pickup_latitude	RatecodeID	store_and_fwd_flag	dropoff_longitude	dropoff_latitude	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
2	2016-01-01 0:00	2016-01-01 0:14	5	9.63	-73.98174286	40.71915817	1	N	-73.93882751	40.82918167	1	27	0.5	0.5	8.49	0	0.3	36.79
2	2016-01-01 0:00	2016-01-01 0:05	5	1.17	-73.96305847	40.77501678	1	N	-73.95174408	40.77880096	2	6	0.5	0.5	0	0	0.3	7.3
1	2016-01-01 0:00	2016-01-01 0:19	1	3.4	0	0	1	N	0	0	2	14.5	0.5	0.5	0	0	0.3	15.8
2	2016-01-01 0:00	2016-01-01 0:06	3	1.32	-73.96125793	40.7961998	1	N	-73.95005035	40.78731155	2	6.5	0.5	0.5	0	0	0.3	7.8
1	2016-01-01 0:00	2016-01-01 0:29	1	13	-73.98223877	40.75770187	1	N	-73.90930939	40.8620491	2	36.5	0.5	0.5	0	0	0.3	37.8
1	2016-01-01 0:00	2016-01-01 0:17	1	0.7	-73.89412689	40.63657379	1	Y	-73.89250183	40.63483429	2	11	0.5	0.5	0	0	0.3	12.3
1	2016-01-01 0:00	2016-01-01 0:32	1	5.4	-73.94641876	40.78913879	1	N	-73.91590118	40.85154724	2	24.5	0.5	0.5	0	0	0.3	25.8
2	2016-01-01 0:00	2016-01-01 0:12	1	3.3	-73.97567749	40.74909973	1	N	-73.97364807	40.78369141	1	12	0.5	0.5	2.66	0	0.3	15.96
2	2016-01-01 0:00	2016-01-01 0:13	6	2.94	-73.94969177	40.78461838	1	N	-73.97103119	40.75101852	2	12	0.5	0.5	0	0	0.3	13.3
2	2016-01-01 0:00	2016-01-01 0:13	2	5.23	-73.98184967	40.7168808	1	N	-73.96932983	40.76937866	2	17.5	0.5	0.5	0	0	0.3	18.8
1	2016-01-01 0:00	2016-01-01 0:07	1	1.3	-73.96588135	40.6885643	1	N	-73.96269226	40.67192841	1	7.5	0.5	0.5	1.75	0	0.3	10.55
1	2016-01-01 0:00	2016-01-01 0:17	1	4.7	-73.99586487	40.76777267	1	N	-74.00960541	40.70992661	1	17	0.5	0.5	2	0	0.3	20.3
2	2016-01-01 0:00	2016-01-01 0:08	1	0.83	-73.9787674	40.74510574	1	N	-73.99221039	40.74930954	2	7	0.5	0.5	0	0	0.3	8.3
1	2016-01-01 0:00	2016-01-01 0:22	1	15.4	-73.97650146	40.73356247	1	N	-73.85426331	40.89178848	1	41.5	0.5	0.5	8.55	0	0.3	51.35
2	2016-01-01 0:00	2016-01-01 0:08	3	1.64	-73.96937561	40.78523636	1	N	-73.94556427	40.7779808	1	8.5	0.5	0.5	0	0	0.3	9.8
1	2016-01-01 0:00	2016-01-01 0:15	1	5.1	-73.99058533	40.74588013	1	N	-73.96988678	40.80126572	1	17.5	0.5	0.5	2.82	0	0.3	21.62
2	2016-01-01 0:00	2016-01-01 0:18	1	1.1	-73.97434235	40.75666046	1	N	-73.98148346	40.75371552	2	11.5	0.5	0.5	0	0	0.3	12.8
2	2016-01-01 0:00	2016-01-01 0:03	1	0.35	-73.99234772	40.74343872	1	N	-73.99642181	40.74606323	1	4	0.5	0.5	1.59	0	0.3	6.89
